Date (UTC),Region / Epicenter,Magnitude,Depth (km),Intensity (MMI),Fatalities,injuries,Damage level,Tsunami height
1/4/2013,"Italy, Sicily",4.3,10,IV,--,--,2,--
1/5/2013,"OS USA, Alaska",7.5,9,VII,--,--,2,150 cm
1/8/2013,Turkey,4.7,14,,--,--,2,--
1/8/2013,OS Turkey (Aegean Sea),5.7,,VI,--,--,2 - 3,--
1/9/2013,Myanmar,6.0,99,V ,--,--,2 - 3,--
1/9/2013,"Spain, Andalusia","[3,7]",21,IV,--,--,1 - 2,--
1/12/2013,"Iran, Chahar Mahal Va Bakhtiari",5.3,9,,--,1,3,--
1/12/2013,"Iran, North Khorasan",4.0,4,,--,--,2,--
1/15/2013,"China, Xinjiang",4.1,9,,--,--,3,--
1/18/2013,"China, Sichuan",5.4,15,,--,1,3 - 4,--
1/21/2013,"Iran, Kerman",5.4,32,,--,--,1 - 2,--
1/21/2013,"Indonesia, Sumatra",6.0,17,VII,1,15,3,--
1/22/2013,"Iran, Lorestan",4.9,7,,--,2,3,--
1/23/2013,"China, Liaoning",5.1,10,,--,--,3 - 4,--
1/24/2013,Colombia,4.5,,,--,--,1,--
1/25/2013,"USA, Texas","[4,1]",5,V,--,--,1,--
1/25/2013,"Iran, Chahar Mahal Va Bakhtiari",5.0,7,,--,1,2 - 3,--
1/25/2013,"Italy, Emilia-Romagna",5.0,5,V,--,--,2,--
1/26/2013,Madagascar,5.3,14,VI,--,--,1 - 2,--
1/26/2013,Austria,3.6,,V,--,--,1,--
1/26/2013,"Iran, East Azerbaijan",4.8,18,,--,34,2,--
1/28/2013,Kazakhstan,6.1,11,VII,--,--,4 - 5,--
1/30/2013,"China, Qinghai",5.2,20,,--,--,2,--
1/30/2013,"Chile, Atacama",6.8,45,VI,1,11,2,--
1/31/2013,"Japan, Honshu",4.7,10,V,--,1,--,--
1/31/2013,Turkey,4.0,8,,--,--,2,--
2/2/2013,Austria,4.5,7,VI,--,--,2,--
2/2/2013,"Japan, Hokkaido",6.9,130,VI,--,13,2,--
2/3/2013,Bosnia-Herzegovina,[4],2,VI,--,--,2,--
2/3/2013,France,"[3,6]",2,,--,--,1 - 2,--
