Date (UTC),"Country, Region (Epicenter)",Magnitude,Depth (km),Intensity (MMI),Fatalities,Injuries,Damage level,Tsunami Height
1/2/2014,"Iran, Hormozgan",5.5,20,VII,1,30,4,--
1/3/2014,"Iran, Bushehr",4.7,18,,--,--,2,--
1/5/2014,"Colombia, Choco",5.2,32,VI,--,--,2,--
1/7/2014,"Chile, Tarapaca",5.2,80,V ,--,--,1,--
1/7/2014,"India, Maharashtra","[3,2]",,,--,--,1 - 2,--
1/7/2014,"China, Shandong",4.3,7,,--,--,1,--
1/8/2014,"USA, Pennsylvania",1.8,,,--,--,1,--
1/9/2014,"Iran, Hormozgan",5,10,,--,--,1 - 2,--
1/9/2014,"Colombia, Tolima",4.8,,,--,--,2,--
1/9/2014,OS Cuba,4.9,,,--,--,1,--
1/10/2014,"Turkey, Balikesir",4,,,--,--,2,--
1/13/2014,OS Puerto Rico,6.4,,V,--,--,1 - 2,--
1/13/2014,"Australia, Victoria",2.8,,,--,--,1,--
1/14/2014,"China, Yunnan",4.4,11,,--,--,2 - 3,--
1/15/2014,"USA, California",4.4,3,V ,--,--,1,--
1/15/2014,"Quetzaltenango, Guatemala",4.1,47,,--,--,1,--
1/16/2014,"Thailand, Surat Thani",4,,,--,--,1 - 2,--
1/18/2014,"China, Yunnan",3.5,14,,--,--,1 - 2,--
1/19/2014,Hungary,4.4,,,--,--,1 - 2,--
1/20/2014,"New Zealand, Manawatu-Wanganui",6.2,,VIII,--,3,2 - 3,--
1/20/2014,"Italy, Campania",4.2,11,V ,--,--,2,--
1/21/2014,"China, Yunnan",3.5,5,,--,--,1,--
1/23/2014,Saudi Arabia,5.1,,,--,--,1 - 2,--
1/25/2014,"OS Indonesia, Java",6.5,88,VI,--,2,3,--
1/25/2014,France,3.9,,,--,--,1,--
1/26/2014,"Peru, Tumbes",5.4,,VI,--,--,1 - 2,--
1/26/2014,"Greece, Cephalonia",5.8,16,VII,--,7,2 - 3,--
follow. days,"Greece, Cephalonia (aftershocks)","< 5,1",,,--,--,2,--
1/26/2014,"Philippines, Marinduque",4.7,1,,--,--,1,--
1/28/2014,Bosnia-Herzegowina,4.2,,VI,--,6,2,--
1/28/2014,"China, Yunnan",4.6,10,,--,--,2 - 3,--
1/28/2014,"Iran, Chaharmahal and Bakhtiari",5.1,6,,--,--,2 - 3,--
1/30/2014,Costa Rica,4.6,32,,--,--,1 - 2,--
2/1/2014,"Malaysia, Borneo",4.8,,,--,--,1,--
2/1/2014,"Greece, Cephalonia (aftershock)",4.6,3,,--,--,1 - 2,--
2/2/2014,"Iran, Hormozgan",5.5,8,,--,--,2,--
2/2/2014,"Iran, East Azerbaijan",3.5,,,--,--,1,--
2/3/2014,"OS Greece, Cephalonia",5.7,12,,--,16,4,--
2/4/2014,South Africa,"[2,4]",,,[9],--,1,--
2/7/2014,"Colombia, Santander",5.5,160,IV,--,--,1,--
2/9/2014,"USA, Oklahoma","[4,1]",5,,--,--,1,--
2/10/2014,Azerbaijan,5.4,55,,--,--,2 - 3,--
2/10/2014,"Indonesia, Nusa Tenggara Timur",5.5,,,--,4,2 - 3,--
2/11/2014,"China, Xinjiang (forshock)",5.4,11,,--,--,1 - 2,--
2/11/2014,"Taiwan, Taipeh",4,6,IV,--,--,1,--
2/12/2014,"China, Xinjiang",7.3,12,IX,--,--,5,--
2/13/2014,Netherlands,"[3,0]",3,,--,--,2,--
2/14/2014,"Turkey, Akdeniz",4.5,,,--,--,2,--
2/15/2014,"USA, Oklahoma","[3,1]",,,--,--,1,--
2/15/2014,"USA, South Carolina",4.1,5,V,--,--,1 - 2,--
2/16/2014,"Indonesia, Java",2.7,17,IV,--,--,2 - 3,--
2/17/2014,"USA, Oklahoma","[3,8]",5,IV,--,--,1,--
2/17/2014,"OS Philippines, Luzon",5.7,23,V,--,--,1,--
2/17/2014,"China, Guizhou",2.8,7,,--,--,2 - 3,--
2/18/2014,OS Barbados,6.7,,V,--,--,1,--
2/18/2014,"Peru, Ica",5.6,,,--,16,1 - 2,--
2/18/2014,"Turkey, Van",4.6,,,--,--,2,--
2/19/2014,"Venezuela, Lara",5.2,3,,--,--,2,--
2/20/2014,"Iran, Isfahan",4.2,15,,--,--,1 - 2,--
2/22/2014,"Turkey, Kahramanmaras",4.4,7,,--,--,2,--
2/22/2014,"Algeria, Boumerdès",4.5,,,--,1,1,--
2/26/2014,"Australia, Western Australia","[4,6]",,V,--,--,1 - 2,--
2/26/2014,"Iran, Kerman",4.3,36,,--,--,2,--
03/2014,"Mexico, Nuevo Leon","[> 4,2]",,,--,--,2,--
3/2/2014,OS Nicaragua,6.2,71,VI,--,--,2 - 3,--
3/5/2014,"OS Greece, Cephalonia (aftershock)",4.8,,,--,--,1 - 2,--
3/9/2014,"Iran, East Azerbaijan",3.5,17,,--,8,--,--
3/9/2014,"OS Indonesia, Java",5.4,50,,--,--,2,--
3/10/2014,"OS USA, California",6.9,16,V,--,--,1 - 2,--
3/11/2014,Morocco,4.5,51,,--,--,2,--
3/12/2014,Comores,4.7,,,--,--,1,--
3/12/2014,"USA, Kansas","[3,2]",,,--,--,1,--
