Date (UTC),"Country, Region (Epicenter)",Magnitude,Depth (km),Intensity (MMI),Fatalities,Injuries,Damage level,buildings damaged,buildings destroyed,Tsunami Height
1/1/2015,"Hungary, Nógrád",3.9,,,--,--,1 - 2,20,0,--
1/1/2015,"Iran, Bushehr",5.1,,,--,--,2,40,0,--
1/1/2015,"Hungary, Nógrád",4.0,,,--,--,1 - 2,10,0,--
1/3/2015,"USA, Idaho",4.9,8,VI,--,--,1 - 2,10,0,--
1/4/2015,"USA, Oklahoma","[3,7]",,,--,--,1,1,0,--
1/5/2015,"Iran, Ilam",4.0,,,--,2,--,0,0,--
1/5/2015,"New Zealand, West Coast ",5.6,8,VI,--,--,1,17,0,--
1/6/2015,"Netherlands, Groningen","[2,7]",3,,--,--,1 - 2,186,0,--
1/6/2015,"USA, Texas (Dallas area)","[3,5]",,V,--,--,1,5,0,--
1/7/2015,"USA, Texas (Dallas area)","[3,6]",,V,--,--,1,5,0,--
1/8/2015,"Canada, British Colombia",4.8,25,,--,--,1 - 2,10,0,--
1/8/2015,"USA, Connecticut",2.3,4,,--,--,1,2,0,--
1/8/2015,"Turkey, Gaziantep",4.6,9,,--,--,1 - 2,15,0,--
1/10/2015,China Xinjiang,5.0,10,,--,--,3,560,3,--
1/10/2015,"Iran, Bushehr",5.0,10,,--,--,1 - 2,10,0,--
1/10/2015,"OS Philippines, Central Luzon",6.0,85,V,--,--,1,1,0,--
1/11/2015,"Spain, Valencia",3.2,5,IV,--,--,1,1,0,--
1/11/2015,"Iran, Bushehr",4.2,12,,--,--,3,,,--
1/12/2015,"USA, Connecticut",3.3,3,V,--,--,1 - 2,,,--
1/13/2015,"Dominican Republc, Barahona",4.7,,,--,--,2,3,1,--
1/13/2015,"USA, Connecticut",2.3,,,--,--,1,1,0,--
1/14/2015,"China, Sichuan",5.0,,VI,--,17,3 - 4,13355,13,--
1/14/2015,"Iran, Ilam",4.7,21,,--,--,2,,,--
1/14/2015,"Dominican Republc, Barahona (aftershock)",3.0,,,2,--,1,0,0,--
1/16/2015,"Russia, Sakhalin",,,,--,--,1,1,0,--
1/18/2015,"China, Henan",3.9,7,V,--,--,1 - 2,24,0,--
1/20/2015,"Peru, Arequipa (Sabancaya volcano)",3.9,7,,--,--,1,3,0,--
1/20/2015,"China, Xinjiang",4.5,10,,--,--,2 - 3,1530,0,--
1/21/2015,"Turkey, Van",4.4,4,,--,--,1 - 2,8,0,--
1/21/2015,Kosovo,4.2,,VI,--,--,1,1,0,--
1/23/2015,"Italy, Emilia-Romagna",4.1,9,V ,--,--,1,5,0,--
1/23/2015,"Turkey, Bursa",4.5,5,,--,--,1,,0,--
1/24/2015,"Ecuador, Carchi (Cerro Negro volcano)",4.6,4,,--,--,2,,0,--
1/25/2015,"Iran, Hormozgan",5.0,7,,--,--,1 - 2,,0,--
1/26/2015,"Azerbaijan, Quba",5.0,7,V,--,--,1,3,0,--
1/26/2015,"Italy, Venetia",3.0,3,,--,--,1,1,0,--
1/28/2015,"Germany, Baden-Württemberg",3.3,,,--,--,1,1,0,--
1/28/2015,"England, Rutland",3.8,8,,--,--,1,1,0,--
1/31/2015,"Honduras, Ocotepeque",4.5,1,,--,--,1 - 2,13,0,--
1/31/2015,"Nepal, Western",5.5,,,--,1,,,,--
1/31/2015,"Croatia, Zagreb",2.9,,IV,--,--,1,0,0,--
2/3/2015,"Ukraine, Poltawa",4.6,,,--,--,2,,0,--
2/3/2015,"Pakistan, Sindh",,,,--,13,,,,--
2/4/2015,"China, Xizang",5.2,10,,--,--,2,100,0,--
2/4/2015,"Peru, Cuzco",3.8,13,,--,--,2 - 3,200,0,--
2/5/2015,"Brazil, Pernambucu",2.2,,,--,--,1,1,0,--
2/5/2015,"Venezuela, Táchira",5.2,5,VI,--,--,1,1,0,--
2/5/2015,"USA, Oklahoma","[4,3]",,,--,--,1,1,0,--
2/6/2015,"Japan, Tokushima",5.0,,JMA 5+,--,--,1 - 2,1,0,--
2/6/2015,"China, Sichuan",4.5,,,--,--,2 - 3,3698,0,--
2/7/2015,"Indonesia, Kepulauan Riau",,,,--,--,1,5,0,--
2/7/2015,"USA, Oklahoma",[3.9],5,V ,--,--,1,1,0,--
2/8/2015,"Indonesia, West Sulawesi",5.4,,VI,--,--,2,3,1,--
2/8/2015,"China, Jilin",4.3,7,,--,--,1,1,0,--
2/11/2015,"Brazil, Mato Grosso",4.1,,,--,--,1 - 2,10,0,--
