Date (UTC),"Country, Region (Epicenter)",Country,Magnitude,Depth (km),Intensity (MMI),Fatalities,Injuries,Damage level,buildings damaged,buildings destroyed,Tsu. height
1/1/2016,"USA, Oklahoma",USA,"[4,2]",5,V,--,--,1,30,0,--
1/1/2016,"Ecuador, Esmeraldas",Ecuador,5.3,6,,--,1,2,,1,--
1/1/2016,"Brazil, Parana",Brazil,1.9,1,,--,--,1,10,0,--
1/3/2016,"China, Sichuan",China,4.2,13,,--,--,1 - 2,20,0,--
1/3/2016,"India, Manipur",India,6.7,55,VII,21,517,5,10943,995,--
,,Bangladesh,,,,,,,,,
,,Bhutan,,,,,,,,,
1/4/2016,"China, Xinjiang",China,4.6,10,,--,--,1 - 2,15,0,--
[06.01.2016],"[North Korea, Hamgyong-Pukto]",,"[5,1]",,,--,--,[1],[1],[0],[--]
1/7/2016,"USA, Oklahoma",USA,"[4,8]",6,VI,--,--,1 - 2,30,0,--
1/8/2016,"Afghanistan, Badakhshan (aftershock)",Afghanistan,5.0,219,,--,--,1 - 2,5,0,--
1/8/2016,"OS Indonesia, West Nusa Tenggara",Indonesia,5.3,89,,--,--,1 - 2,,0,--
1/9/2016,"Zambia, Southern",Zambia,4.6,,,--,--,1,1,0,--
1/10/2016,"Turkey, Kirsehir",Turkey,5.0,4,,--,1,1 - 2,20,0,--
1/10/2016,"Kenya, Tharaka Nithi",Kenya,,,,--,--,1 - 2,,0,--
1/12/2016,"Afghanistan, Badakhshan (aftershock)",Afghanistan,5.8,220,V,--,3,2,,1,--
1/12/2016,"Brazil, Parana",Brazil,1.7,1,,--,--,1 - 2,90,0,--
1/13/2016,"China, Ningxia",China,3.6,6,,--,--,1 - 2,,0,--
1/13/2016,"Indonesia, East Nusa Tenggara (Mt. Egon)",Indonesia,,,,--,--,1,,0,--
1/13/2016,"China, Xinjiang",CHina,5.3,5,VII,--,--,1,,0,--
1/14/2016,"OS Japan, Hokkaido",Japan,6.7,50,JMA 5-,--,2,--,0,0,--
1/14/2016,"Germany, Lower Saxony",Germany,"[2,7]",5,IV,--,--,1,,0,--
1/16/2016,"Italy, Molise",Italy,4.3,10,V,--,--,1,1,0,--
1/16/2016,"OS Indonesia, Molukka",Indonesia,5.6,4,VII,1,22,3 - 4,257,72,--
1/18/2016,"India, Kerala",India,3.4,,,--,--,1,1,0,--
1/20/2016,"China, Gansu",China,6.4,10,VIII,--,9,2 - 3,722,2,--
1/21/2016,"OS Morocco, Oriental",Morocco,4.9,,,--,1,1,2,0,--
1/21/2016,"Brazil, Parana",Brazil,1.8,,,--,--,2,400,0,--
1/22/2016,"Poland, Lower Silesia",Poland,[3.5],1,,--,1,,,0,--
1/22/2016,"Iran, Fars",Iran,5.4,10,,--,--,1 - 2,,0,--
1/22/2016,"Sri Lanka, Northern Province",Sri Lanka,,0,,--,--,1 - 2,,0,--
1/23/2016,"China, Guizhou",China,3.0,6,,--,--,1 - 2,30,0,--
1/24/2016,"USA, Alaska",USA,7.1,123,VII,--,1,2,,4,--
1/24/2016,"Ethiopia, Southern (Hawasa area)",Ethiopia,4.2,,,--,150,1 - 2,,0,--
1/25/2016,"OS Morocco, Oriental",Morocco,6.3,,VI,--,41,2,,0,--
,,Spain,,,,,,,,,
1/28/2016,"India, Rajasthan",India,3.8,,,--,--,1 - 2,,0,--
1/31/2016,"Austria, Vorarlberg",Austria,3.6,,,--,--,1,,0,--
2/1/2016,"China, Guanxi",China,3.2,8,IV,--,--,1,1,0,--
2/5/2016,"Nepal, Central (aftershock)",Nepal,5.5,,VI,1,66,,,,--
2/5/2016,"Taiwan, Kaohsiung",Taiwan,6.4,17,VIII,117,559,3,594,12,--
2/6/2016,"India, Rajasthan",India,,,,--,--,1,,0,--
2/7/2016,"China, Yunnan",China,4.5,12,,--,--,2,2391,0,--
2/8/2016,"Italy, Sicily",Italy,4.2,4,V,--,--,1,5,0,--
2/8/2016,"Canada, New Brunswick",Canada,3.3,1,,--,--,1,1,0,--
2/8/2016,"Mexico, Puebla",Mexico,4.6,20,,--,--,2 - 3,70,10,--
2/9/2016,"New Zealand, Marlborough",New Zealand,5.7,48,V,--,--,1,1,0,--
2/10/2016,"Algeria, Blida",Algeria,4.7,,,--,,1 - 2,,0,--
2/11/2016,"China, Xinjiang",China,5.0,,,--,--,2 - 3,496,0,--
2/12/2016,"Indonesia, East Nusa Tenggara  ",Indonesia,6.6,30,VII,--,,2 - 3,,0,--
2/13/2016,"USA, Oklahoma",USA,"[5,1]",2,VI ,--,--,2,,,--
2/14/2016,"OS New Zealand, Canterbury (Christchurch area)",New Zealand,5.8,4,VIII,--,,2,9579,0,--
2/15/2016,"Greece, Peloponnese",Greece,5.2,5,,--,--,2 - 3,83,0,--
2/16/2016,"USA, California",USA,3.9,3,V,--,--,1,1,0,--
2/17/2016,"India, Rajasthan",India,,,,--,--,1,1,0,--
2/20/2016,"Peru, Arequipa (Sabancaya Volcano)",Peru,5.2,8,,--,3,3 - 4,105,28,--
2/21/2016,"Nepal, Western (aftershock)",Nepal,5.5,10,,--,1,2,,0,--
2/23/2016,"Brazil, Pernambuco",Brazil,3.8,,,--,--,1 - 2,,0,--
2/23/2016,"OS Indonesia, Maluku Islands",Indonesia,5.1,10,VI,--,4,2 - 3,182,0,--
2/24/2016,"Myanmar, Yangon",Myanmar,4.4,,,--,--,1,1,0,--
2/25/2016,"Netherlands, Groningen",Netherlands,"[2,4]",3,,--,--,1 - 2,186,0,--
3/2/2016,"OS Indonesia, Mentawai",,7.9,,IV,--,--,--,0,0,10 cm
3/2/2016,"France, Laguedoc-Rousillion",France,3.8,,,--,--,1,,0,--
3/5/2016,"China, Yunnan",China,4.6,6,,--,--,2,167,0,--
3/6/2016,"Brazil, Ceara",Brazil,"[3,4]",,,--,--,1,,0,--
3/7/2016,"China, Guangxi",China,2.1,5,,--,--,1,2,0,--
3/7/2016,"China, Yunnan",China,4.3,7,,--,--,2,285,0,--
3/10/2016,"China, Sichuan",China,4.2,,,--,--,2 - 3,669,0,--
3/12/2016,"China, Shanxi",China,4.4,5,,--,7,3,,,--
3/12/2016,"OS Morocco, Oriental (aftershock)",Morocco,4.8,,,--,--,1,,0,--
3/14/2016,"India, Madhya Pradesh",India,,,,--,--,1,2,0,--
3/15/2016,"OS Morocco, Oriental (aftershock)",Morocco,5.2,,,--,--,1 - 2,,0,--
3/15/2016,"Ecuador, Pichincha (Quito area)",Ecuador,4.1,7,,--,--,1,10,0,--
3/16/2016,"OS Morocco, Oriental (aftershock)",Morocco,4.5,,,--,--,3,,2,--
3/17/2016,"India, Jammu and Kashmir",India,4.5,,,1,1,1,1,0,--
3/24/2016,"Iran, East Azerbaijan",Iran,4.4,7,,--,--,1 - 2,,0,--
3/27/2016,"China, Shandong",China,[3.1],0,,--,--,2 - 3,90,,--
3/29/2016,"Iran, Hamadan",Iran,4.1,,,--,--,2,33,0,--
3/31/2016,"Iran, Chaharmahal va Bakhtiari",Iran,5.0,6,,--,--,2,,,--
3/31/2016,"Indonesia, West Nusa Tenggara",Indonesia,4.5,,,--,--,2,44,0,--
3/31/2016,"Mexico, Hidalgo",Mexico,2.0,,,--,--,1,,0,--
4/6/2016,"OS Indonesia, Jawa Barat",Indonesia,6.1,,V,--,--,1 - 2,,0,--
4/9/2016,"Nepal, Central (aftershock)",Nepal,4.5,,,--,5,1,0,0,--
4/10/2016,"OS Indonesia, Bengkulu",Indonesia,5.9,67,,--,--,2 - 3,50,,--
4/10/2016,"Pakistan, Khyber Pakhtunkwar (aftershock)",Pakistan,6.6,200,,10,55,4,,107,--
,,Afghanistan,,,,,,,,,
,,India,,,,,,,,,
,,China,,,,,,,,,
4/10/2016,"Algeria, Medea",Algeria,5.0,,,--,5,2,77,0,--
4/11/2016,"Brazil, Minas Gerais",Brazil,3.5,,,--,--,1,1,0,--
4/13/2016,"Myanmar, Sagaing",Myanmar,6.9,135,VI,2,247,4,,,--
,,India,,,,,,,,,
,,Bangladesh,,,,,,,,,
4/13/2016,"OS Philippines, Zamboanga Peninsula",Philippines,6.0,16,VI,--,3,3,,5,--
4/14/2016,"Japan, Kumamoto",Japan,6.5,11,X,102,1684,4,136126,13248,--
4/15/2016,"Japan, Kumamoto",Japan,7.3,12,X,,,5,,,--
4/15/2016,"Japan, Kumamoto",Japan,5.8,12,JMA 6+,--,--,3,,,--
4/16/2016,"OS Ecuador, Esmeraldas",Ecuador,7.8,19,VIII,672,16274,5,63000,6998,14 cm
,,Colombia,,,,,,,,,
4/18/2016,"Bulgaria, Sliven",Bulgaria,4.2,,,--,--,1,6,0,--
4/22/2016,"Germany, Lower Saxony",Germany,"[3,2]",5,IV,--,--,1 - 2,200,0,--
4/25/2016,"Austria, Lower Austria",Austria,4.2,,,--,--,1,,0,--
4/26/2016,"Iran, Chaharmahal va Bakhtiari",Iran,4.4,12,,--,--,1 - 2,,0,--
4/27/2016,"Brazil, Mato Grosso",Brazil,3.7,,,--,--,1,1,0,--
4/28/2016,"France, Poitou-Charentes",France,4.9,,V,--,--,1,,0,--
4/28/2016,"OS Vanuatu, Malampa",Vanuatu,7.0,27,VII,--,--,2,,,2 cm
4/29/2016,"South Africa, Gauteng",South Africa,3.5,,,2,--,1,,,--
5/2/2016,"Brazil, Minas Gerais (Belo Horizonte area)",Brazil,3.7,,,--,--,1 - 2,,0,--
5/4/2016,"China, Yunnan",China,4.7,10,,--,--,3,164,1,--
