Date (UTC),Country,Region,Magnitude,Depth (km),Intensity (MMI),Fatalities,Injuries,displaced,Impact coefficient (D),buildings damaged,buildings destroyed,Tsunami height
02.01.2017,Italy,Umbria,4.1,8,V,0,0,30,0.1944,,0,--
03.01.2017,India,Tripura,5.5,35,,3,49,600,1.6688,1456,166,--
03.01.2017,Brazil,Maranhao,4.6,,,0,0,0,0.7530,500,0,--
03.01.2017,Fiji,Western Division (OS),7.2,16,IV,0,0,0,0.0000,0,0,1 cm
06.01.2017,Iran,Fars,5.1,4,,4,4,905,1.4479,400,40,--
08.01.2017,Canada,Nunavut (OS),5.8,17,V ,0,0,0,0.0198,5,0,--
08.01.2017,India,Maharashtra,2.8,,,0,0,0,0.0387,10,0,--
09.01.2017,Greece,Western Greece,4.6,4,VI,0,0,0,0.0080,2,0,--
10.01.2017,Philippines,Sulu (OS),7.3,627,IV,0,0,0,0.0040,1,0,--
11.01.2017,Madagascar,Antananarivo,5.5,8,VI,2,5,50,0.9290,300,15,--
15.01.2017,China,Sichuan,4.2,14,,0,0,0,0.0569,15,0,--
16.01.2017,Indonesia,Sumatra Utara,5.6,,,0,7,50,0.7877,200,17,--
17.01.2017,Cuba,Santiago de Cuba (OS),5.4,11,VI,0,0,25,0.2805,30,5,--
17.01.2017,Pakistan,Sindh (Karachi area),3.6,12,,0,0,0,0.0743,20,0,--
17.01.2017,Angola,Huila,4.0,,,0,0,0,0.0910,25,0,--
17.01.2017,Iran,Fars,4.8,10,,0,3,0,0.4315,100,0,--
18.01.2017,Italy,Abruzzo,5.5,9,,2,10,500,1.5465,2000,50,--
18.01.2017,China,Sichuan,4.3,5,,0,0,0,1.1490,1401,1,--
19.01.2017,Colombia,Antioquia,4.7,20,,0,0,0,0.0040,1,0,--
19.01.2017,Georgia,Samtskhe-Javakheti,4.3,,,0,0,0,0.0387,10,0,--
20.01.2017,Iran,Fars,4.3,12,,0,10,0,0.6050,50,0,--
21.01.2017,Russia,Primorje,3.3,,,0,0,0,0.0080,2,0,--
21.01.2017,Argentina,Mendoza,4.6,22,,0,0,0,0.0387,10,0,--
22.01.2017,Papua New Guinea,Bougainville,7.9,136,VIII,3,15,200,1.2881,500,100,2 cm
22.01.2017,Iran,Isfahan,4.5,,,0,0,5,0.1379,30,0,--
26.01.2017,Germany,Northrhine-Westphalia,1.9,1,IV,0,0,0,0.0040,1,0,--
27.01.2017,Ethiopia,Oromia,5.2,,,,,,0.0000,,,--
27.01.2017,Albania,Berat,4.8,3,,0,0,0,0.0844,23,0,--
27.01.2017,China,Sichuan,4.9,11,VI,0,5,4000,2.3542,14000,571,--
29.01.2017,Italy,Lazio,3.8,,,0,0,0,0.0135,0,1,--
31.01.2017,Ecuador,Esmeraldas,5.5,10,VI,0,0,0,0.0159,4,0,--
31.01.2017,China,Xizang,4.5,5,,0,0,500,1.3704,1400,,--
01.02.2017,Australia,South Australia,3.7,8,,0,0,0,0.0080,2,0,--
03.02.2017,Kyrgyzstan,Batken,5.0,,,0,0,0,0.0198,5,0,--
03.02.2017,France,Martinique (OS),5.8,,VII,0,3,0,0.2699,10,0,--
06.02.2017,Turkey,Canakkale,5.4,8,,0,8,2500,1.8492,504,504,--
06.02.2017,Colombia,Huila,5.6,37,,0,1,500,1.2610,461,104,--
06.02.2017,India,Uttarakhand,5.6,14,,0,2,,0.4408,100,10,--
07.02.2017,Turkey,Canakkale,5.2,8,,0,0,0,0.3000,100,2,--
07.02.2017,Pakistan,Balochistan,6.3,,,0,1,300,0.9440,,60,--
08.02.2017,China,Yunnan,4.9,10,,0,5,,0.3955,22,,--
09.02.2017,Colombia,Huila,4.0,,,0,0,15,0.1246,2,1,--
10.02.2017,Turkey,Canakkale,4.7,,,0,0,0,0.0743,20,0,--
10.02.2017,Turkey,Agri,4.5,,,0,0,15,0.2189,40,0,--
10.02.2017,Philippines,Surigao del Norte (OS),6.6,7,VIII,8,249,54735,3.0850,10398,522,--
10.02.2017,Taiwan,Tainan,5.6,18,VII,0,4,0,0.3162,5,0,--
12.02.2017,Turkey,Canakkale,5.2,8,,0,0,,0.3213,50,20,--
12.02.2017,China,Zhejiang,3.5,6,,0,0,0,0.0387,10,,--
13.02.2017,Mexico,Veracruz (OS),4.4,10,,0,0,,0.0777,21,0,--
13.02.2017,Indonesia,Sumatra Utara,5.2,,,0,0,,0.0000,,,--
15.02.2017,Indonesia,Java Barut,5.1,,,0,0,50,0.3704,30,4,--
16.02.2017,Indonesia,Aceh,5.6,,,0,15,,0.6906,,2,--
17.02.2017,USA,Alabama,2.6,2,,0,0,0,0.0040,1,0,--
20.02.2017,France,Aquintaine,3.8,,,0,0,0,0.0040,1,0,--
22.02.2017,China,Hubei,3.8,7,,0,0,0,0.2133,68,0,--
23.02.2017,Philippines,Davao del Sur,4.6,,,0,2,0,0.1823,1,0,--
24.02.2017,Zambia,Northern Province,5.9,,,0,8,50,0.6371,,11,--
25.02.2017,China,Sichuan (aftershock),4.0,12,,0,0,,0.0387,10,0,--
27.02.2017,Nepal,Eastern (aftershock),4.7,,,0,0,0,0.0569,15,0,--
02.03.2017,Turkey,Adiyaman,5.5,,,0,31,3000,2.0515,710,1289,--
05.03.2017,Algeria,Skikda,4.6,,,0,0,0,0.0120,3,0,--
05.03.2017,Philippines,Surigao del Norte (OS),5.9,13,VII,1,47,0,1.1783,0,33,--
06.03.2017,Switzerland,Schwyz,4.6,5,VI,0,0,0,0.1227,35,0,--
07.03.2017,Peru,Junin,4.3,50,,0,0,0,0.1808,52,1,--
07.03.2017,USA,Montana,3.4,11,,0,0,0,0.0312,8,0,--
08.03.2017,Indonesia,Northern Molucca,5.4,,,0,0,,0.1071,30,0,--
09.03.2017,Brazil,Ceara,2.7,,,0,1,5,0.1810,1,5,--
09.03.2017,Venezuela,Falcon (OS),4.8,,,0,0,0,0.0040,1,0,--
10.03.2017,Spain,Navarra,4.5,,,0,0,0,0.0040,1,0,--
09.03.2017,Venezuela,Falcon (OS),5.2,,,0,0,0,0.0387,10,0,--
11.03.2017,Poland,Lower Silesia,3.5,1,,0,0,0,0.0387,10,0,--
13.03.2017,Myanmar,Yangoon,5.1,5,,0,52,250,1.3328,200,20,--
17.03.2017,Iran,Fars,4.3,,,0,0,0,0.0198,5,0,--
21.03.2017,Indonesia,Bali,5.7,,,0,4,,0.7600,400,0,--
22.03.2017,Philippines,Central Visayas,3.4,,,0,0,0,0.0159,4,0,--
26.03.2017,China,Yunnan,5.1,12,,0,1,5286,2.2910,6043,1218,--
27.03.2017,Mexico,Sinaloa (OS),5.7,10,,0,0,0,0.0461,12,0,--
02.04.2017,India,Karnataka,2.9,,,1,0,0,0.3247,12,0,--
02.04.2017,Panama,Chiriqui,5.3,10,VII,0,0,30,0.3679,25,17,--
03.04.2017,South Africa,Gauteng,5.2,5,VII,,,,0.0569,15,,--
03.04.2017,Botswana,Moiyabana,6.5,29,,0,36,,1.0138,11,,--
04.04.2017,Kazakhstan,Eastern  ,5.4,,,0,0,0,0.0312,8,0,--
04.04.2017,Philippines,Batangas,5.5,,,0,0,0,0.1377,40,0,--
05.04.2017,Iran,Ravazi-Chorasan,6.0,6,VIII,1,40,5488,2.3001,4417,1362,--
05.04.2017,Greece,Peloponnese,4.5,8,VI ,0,0,0,0.0743,20,0,--
08.04.2017,Philippines,Batangas,6.0,,VII ,0,6,3578,2.0526,2695,568,--
08.04.2017,Albania,Qark Lezha,5.1,,,0,0,10,0.1263,16,0,--
10.04.2017,India,Karnataka,,,,0,0,0,0.0387,10,0,--
10.04.2017,El Salvador,San Salvador,4.8,10,,1,2,,0.6851,250,,--
11.04.2017,Philippines,Misamis Oriental,6.0,3,VII ,0,1,5027,2.0217,817,52,--
12.04.2017,China,Zhejiang,4.2,,,0,0,,0.1522,45,0,--
18.04.2017,India,Karnataka,3.4,,,0,0,0,0.0569,15,0,--
18.04.2017,Myanmar,Shan State,4.7,,,0,0,0,0.0040,1,0,--
21.04.2017,Turkey,Manisa,5.1,6,,0,0,15,0.1425,8,1,--
21.04.2017,Turkey,Manisa,5.1,10,,0,0,,0.1227,35,,--
24.04.2017,Guinea,Labé,,,,0,0,50,0.4120,35,10,--
24.04.2017,Chile,OS Valparaiso,6.9,25,VII,0,0,0,0.0198,5,0,16 cm
28.04.2017,Philippines,OS Sarangani,6.8,,VII,0,5,15,0.4606,18,5,20 cm
29.04.2017,Colombia,Cauca,4.6,,,0,0,0,0.0120,3,0,--
29.04.2017,Mexico,Colima,4.6,12,,0,1,20,0.2751,,8,--
30.04.2017,Chile,Valparaiso (aftershock),4.0,,,0,0,0,0.0135,0,1,--
30.04.2017,Peru,Arequipa,4.2,,,0,0,,0.1019,25,1,--
01.05.2017,Canada,British Columbia,6.3,12,VIII,0,0,0,0.0159,4,0,6 cm
02.05.2017,Iran,Ravazi-Chorasan,5.3,,,0,2,,0.2617,,10,--
03.05.2017,Tajikistan,Nohiyahoi tobei jumhur?,5.9,,VII,0,3,1000,1.4591,457,125,--
03.05.2017,Russia,Dagestan,5.4,20,,0,0,,0.0387,10,,--
04.05.2017,China,Sichuan,4.9,,VI,0,5,92,1.8319,6646,61,--
05.05.2017,Tajikistan,Nohiyahoi tobei jumhur?,5.8,,VII,0,2,4000,1.9773,516,423,--
10.05.2017,China,Xinjiang,5.5,8,VII,8,31,9200,2.3159,,537,--
11.05.2017,Azerbaijan,Saatli,5.3,48,V,0,20,,0.8398,85,,--
11.05.2017,Turkey,Erzurum,5.0,4,,0,0,,0.0910,25,,--
13.05.2017,Iran,North Chorazan,5.7,11,VII,3,417,5100,2.6544,9580,4929,--
15.05.2017,India,Karnataka,,,,0,0,0,0.0569,15,0,--
16.05.2017,Peru,Ayacucho,5.4,10,VI ,0,0,45,0.4053,51,7,--
19.05.2017,Iran,North Chorazan (aftershock),4.1,10,,0,2,250,0.9413,,80,--
22.05.2017,Peru,Moquegua,4.2,,,0,0,0,0.4354,185,0,--
24.05.2017,Indonesia,Sulawesi Tengah,5.7,15,VI,0,0,,0.0844,23,0,--
24.05.2017,Albania,,4.4,,,0,0,0,0.0497,13,0,--
24.05.2017,Indonesia,OS Java Timur,5.5,,,0,0,,0.0387,10,0,--
25.05.2017,Tanzania,Mwanza,4.4,,,1,19,0,0.8367,0,0,--
27.05.2017,Netherlands,Groningen,2.6,3,,0,0,0,0.1347,39,0,--
27.05.2017,Turkey,Manisa,5.2,8,,0,1,500,1.3308,404,222,--
28.05.2017,Indonesia,Aceh,5.0,,,0,0,1,0.1239,30,1,--
29.05.2017,Poland,Silesia,3.3,0.6,,0,4,0,0.3063,,,--
29.05.2017,Indonesia,Sulawesi,6.6,11,VII,0,25,900,1.4956,180,168,--
29.05.2017,China,Hubei,3.5,8,,0,0,0,0.0910,25,0,--
01.06.2017,Guatemala,Santa Rosa,,,,0,0,0,0.0040,1,0,--
01.06.2017,India,Haryana,4.7,,,0,0,0,0.0910,25,,--
04.06.2017,China,Nei Mongol,5.0,15,,0,0,510,1.1634,220,61,--
05.06.2017,Peru,Piura,6.2,18,V,0,3,7,0.3356,15,4,--
06.06.2017,Iran,Kohgiluyeh va Boyer Ahmad,4.7,,,0,0,,0.0743,20,0,--
09.06.2017,India,Jammu and Kashmir,3.2,,,0,0,,0.0569,15,0,--
12.06.2017,Greece,OS North Aegean,6.3,11,VIII,1,15,1000,1.5747,246,337,40 cm
14.06.2017,Guatemala,San Marcos,6.9,112,VI ,5,66,801,1.9818,4442,524,
16.06.2017,China,Hubei,4.3,8,,0,0,163,0.7622,184,0,--
20.06.2017,USA,Georgia,3.2,13,,0,0,0,0.0040,1,0,--
21.06.2017,Nepal,Central,3.2,,,1,1,0,0.3534,0,0,--
