Date (UTC),Country (Epicenter),Region (Epicenter),Magnitude,Type,Origin,Depth (km),Intensity (MMI / JMA),Fatalities,Injuries,displaced,Impact value (D),buildings damaged,buildings destroyed,Tsunami height
1/2/2018,Greece,Central Macedonia,4.7,Earthquake,tectonic,,,0,0,0,0.056989867,15,0,--
1/2/2018,Canada,Alberta,2,Cryoseism,weather,,,0,0,0,0.012011972,3,0,--
1/2/2018,India,Maharashtra,3.2,EQ Swarm,tectonic,,,0,0,,0.422472526,176,0,--
1/2/2018,Algeria,Blida,5.1,Earthquake,tectonic,10,V,0,2,,0.18119397,1,,--
1/3/2018,El Salvador,OS La Libertad,5.1,Earthquake,tectonic,80,V,0,0,0,0.01594325,4,0,--
1/3/2018,China,Yunnan,4.6,Earthquake,tectonic,10,,0,0,,0.974876612,727,52,--
1/4/2018,USA,California,4.4,Earthquake,tectonic,13,V,0,0,0,0.004041018,1,0,--
1/4/2018,Montenegro,Plov,5.3,Earthquake,tectonic,14,VII,0,0,20,1.226149685,1655,,--
1/4/2018,China,Jilin,4.3,Earthquake,tectonic,8,,0,0,46,0.324554333,30,0,--
1/6/2018,Iran,Kermanschah,5.1,Earthquake,aftershock,8,,0,51,,1.145000095,,,--
1/7/2018,Myanmar,Sagaing,5.5,Earthquake,tectonic,0,,0,0,4,0.042899291,,1,--
1/8/2018,Netherlands,Groningen,3.4,Earthquake,gas prod.,3,,0,0,0,1.450587694,2912,0,--
1/10/2018,OS Honduras,Islas de la Bahia,7.5,Earthquake,tectonic,12,,0,0,0,0.031321879,8,0,
1/10/2018,OS Honduras,Islas de la Bahia,7.5,Earthquake,tectonic,12,,0,0,0,0.027527973,7,,40 cm
1/10/2018,Iran,Kermanschah,4.7,Earthquake,tectonic,,,0,0,,0.051650426,,4,--
1/11/2018,Iran,Kermanschah,5.6,Earthquake,tectonic,8,,0,5,200,0.88089402,150,10,--
1/11/2018,Iran,Ilam,5.4,Earthquake,tectonic,,,0,,,0.038811687,10,,--
1/11/2018,Costa Rica,Alajuela,5.1,EQ Swarm,triggered,3,,0,0,12,0.199071822,12,8,--
1/11/2018,Myanmar,Bago Division,6,Earthquake,tectonic,,VII,0,,,0.004041018,1,,--
1/14/2018,OS Peru,Arequipa,7.1,Earthquake,tectonic,36,VIII,2,139,2000,2.019211859,1720,443,--
