Date (UTC),Country (Epicenter),Region (Epicenter),Magnitude,Type,Origin,Depth (km),Intensity (MMI / JMA),Lat,Long,Fatalities,Injuries,displaced,Impact value (D),buildings damaged,buildings destroyed,Tsunami height
01.01.2019,Italy,Abruzzo,4.1,earthquake,tectonic,17,V,41.88,13.55,0,0,0,0.027,7,0,--
03.01.2019,Mexico,Veracruz,4.2,earthquake,tectonic,5,,19.41,-97.05,0,0,0,0.031,8,0,--
03.01.2019,China,Sichuan,5.3,aftershock,tectonic,15,VII,28.20,104.86,0,1,251,1.151,753,44,--
03.01.2019,Japan,Kumamoto,5.0,aftershock,tectonic,10,6-,32.97,130.47,0,3,0,0.261,7,0,--
04.01.2019,Albania,Vlore,4.8,earthquake,tectonic,28,,40.05,19.88,0,0,0,0.020,5,0,--
05.01.2019,Mexico,Veracruz,4.3,earthquake,tectonic,2,,19.39,-97.07,0,0,0,0.023,6,0,--
06.01.2019,Peru,Puno,5.0,earthquake,tectonic,18,,-15.22,-70.83,0,0,50,0.328,23,0,--
06.01.2019,Iran,Kermanshah,5.5,aftershock,tectonic,9,,34.12,45.68,1,74,0,1.593,2000,,--
06.01.2019,Indonesia,Molucca,6.5,earthquake,tectonic,31,VI,2.30,126.77,0,0,0,0.000,0,0,2cm
08.01.2019,Indonesia,Jawa Barat,5.1,earthquake,tectonic,,,-7.81,106.59 ,0,0,5,0.042,1,0,--
08.01.2019,Peru,Loreto,5.5,earthquake,tectonic,12,,-4.64,-74,0,0,,0.004,1,,--
09.01.2019,Brazil,Sergipe,2.7,earthquake,tectonic,,,-10.72,-37.25,0,0,0,0.004,1,0,--
09.01.2019,Argentina,Neuquen,4.1,earthquake,tectonic,12,,"-38,505","-68,908",0,0,0,0.038,10,0,--
10.01.2019,China,Yunnan,4.2,earthquake,tectonic,10,,21.26,101.71,0,0,0,0.543,270,0,--
11.01.2019,India,Karnataka,3.0,earthquake,tectonic,,,13.88,74.64,0,0,0,0.004,1,0,--
12.01.2019,Poland,Lower Silesia,3.9,Rockburst,mining,0.9,,51.52,16.09,1,7,0,0.577,0,0,--
14.01.2019,Laos,Luang Namtha,4.9,earthquake,tectonic,6,,21.20,101.80,0,0,0,0.759,458,17,--
14.01.2019,Italy,Emilia Romagna,4.6,earthquake,tectonic,25,,44.37,12.32,0,0,0,0.038,10,0,--
14.01.2019,Indonesia,Sumatra Utara,5.0,earthquake,tectonic,10,,1.80,99.12,0,0,0,0.073,20,0,--
15.01.2019,Venezuela,Sucre,5.0,EQ swarm,tectonic,8,,10.59,"-63,217",0,0,0,0.004,1,0,--
15.01.2019,Tunisia,Jendouba,3.0,earthquake,tectonic,,,36.31,8.24,0,0,0,0.004,1,0,--
15.01.2019,Peru,Ancash,5.1,earthquake,tectonic,28,,-9.18,-79.48,0,0,4,0.043,0,1,--
17.01.2019,Pakistan,Balochistan,3.0,earthquake,tectonic,,,28.47,65.44,0,0,0,0.020,5,0,--
20.01.2019,Chile,Coquimbo,6.7,Earthquake,tectonic,50,VIII,"-30,074","-71,423",2,,20,1.311,1236,185,--
21.01.2019,Mexico,Oaxaca,5.8,Earthquake,tectonic,10,VI ,"15,569","-94,727",0,0,0,0.004,1,0,--
22.01.2019,Indonesia,Nusa Tenggara Timur,6.4,Earthquake,tectonic,27,,"-10,466","119,031",0,0,0,0.004,1,0,--
22.01.2019,Poland,Silesia,3.4,Rockburst,mining,1,,50.06,18.42,1,8,0,0.605,0,0,--
24.01.2019,Greece,South Aegean,5.3,Earthquake,tectonic,38,,35.9253,28.2202,0,0,0,0.012,3,0,--
25.01.2019,Peru,Ica,5.6,Earthquake,tectonic,56,VI,-14.52,-75.38,0,10,0,0.578,20,2,--
26.01.2019,Colombia,Tolima,5.6,Earthquake,volcano-tectonic,9,,2.99,-75.77,1,1,,0.389,21,,--
26.01.2019,Indonesia,Maluku Tenggara,5.8,Earthquake,tectonic,,,-5.55,133.82,0,1,0,0.111,4,0,--
28.01.2019,Brazil,Bahia,2.5,Earthquake,tectonic,,,-16.63,-39.77,0,0,0,0.012,3,0,--
