Date (UTC),Epicenter,Region (Epicenter),Magnitude,Type,Origin,Depth (km),Intensity (MMI / JMA),Lat,Long,Fatalities,Injuries,displaced,Impact value (D),buildings damaged,buildings destroyed,Tsunami height
1/2/2020,Iran,Ravazi-Chorasan,5.8,earthquake,tectonic,8,,34.03,60.37,0,1,100,0.609547197,100,2,--
1/3/2020,India,Gujarat,3.2,earthquake,tectonic,,,22.4,69.95,0,0,0,0.019547943,5,0,--
1/3/2020,Ecuador,El Oro,5,earthquake,tectonic,60,,-3.29,-80.14,0,0,0,0.003980612,1,0,--
1/5/2020,Mexico,Oaxaca,5.8,earthquake,tectonic,97,VI,16.42,-94.35,0,0,,0.487387581,225,,--
1/6/2020,USA,Puerto Rico,5.8,EQ sequence,tectonic,6,,17.87,-66.82,0,0,5,0.294344824,75,6,--
1/7/2020,Indonesia,Simeulue,6.1,earthquake,tectonic,17,,96.35,2.4,0,0,0,0.027127233,7,0,--
1/7/2020,USA,Puerto Rico,6.4,EQ sequence,tectonic,7,VII - VIII,17.95,-66.74,4,10,4900,2.077428037,1390,300,17 cm
1/8/2020,Iran,Bushehr,4.7,earthquake,tectonic,9,,29.19,51.31,0,10,,0.570093951,20,,--
1/8/2020,Indonesia,Jawa Barat,4.8,earthquake,tectonic,,,-8.05,107.91,0,0,0,0.013343139,0,1,--
1/10/2020,USA,Puerto Rico,5.2,EQ sequence,tectonic,,,17.95,-66.84,0,0,0,0.019547943,5,0,--
1/11/2020,USA,Puerto Rico,5.9,EQ sequence,tectonic,,,17.8,-66.84,0,0,,0.248561045,50,10,--
1/13/2020,Philippines,Calabarzon,4.2,EQ sequence,volcanic (Taal eruption),4,,13.96,120.99,0,0,,1.469310714,1980,328,--
1/13/2020,Poland,Silesia,3.8,earthquake,mining,1,,50.2,18.75,0,0,0,0.150557639,45,0,--
1/15/2020,Peru,Ancash,5.4,earthquake,tectonic,32,,-10.39,-78.83,0,1,0,0.113689084,5,0,--
1/15/2020,Argentina,Mendoza,5,earthquake,tectonic,,,-32.96,-68.6,0,0,0,0.00792507,2,0,--
1/15/2020,USA,Puerto Rico,5.2,EQ sequence,tectonic,5,,17.91,-67.02,0,0,,0.003980612,1,,--
1/16/2020,China,Xinjiang,5.6,earthquake,tectonic,16,,41.21,83.6,0,0,,0.218471445,71,,--
1/17/2020,Mexico,Oaxaca,5.3,earthquake,tectonic,27,,16.66,-94.95,0,0,500,1.337813234,1260,,--
1/17/2020,China,Xinjiang,5.4,earthquake,tectonic,20,,39.83,77.18,0,0,,0.038253784,10,0,--
1/19/2020,China,Xinjiang,6.4,earthquake,tectonic,16,,39.83,77.21,1,2,4827,2.001693768,1007,4,--
1/19/2020,Indonesia,Sulawesi Utara,6.1,earthquake,tectonic,132,,-0.2,123.9,0,0,0,0.019547943,5,0,--
1/19/2020,USA,Kansas,4.5,earthquake,waste water injection,5,VI,38.01,-97.97,0,0,0,0.011834025,3,,--
1/20/2020,USA,Tennessee,3.8,earthquake,tectonic,16,,36.41,-84.03,0,0,0,0.003980612,1,0,--
1/22/2020,Indonesia,Simeulue,4.7,earthquake,tectonic,16,,2.23,96.11,0,0,0,0.003980612,1,0,--
1/22/2020,Turkey,Manisa,5.4,EQ Sequence,tectonic,9,,39.06,27.84,0,4,1000,1.57107246,802,305,--
1/22/2020,Iran,Hormozgan,5.2,earthquake,tectonic,21,,28.09,56.87,0,0,,0.038253784,10,,--
1/23/2020,Turkey,Ankara,4.5,earthquake,tectonic,13,,40.11,33.25,0,0,0,0.00792507,2,0,--
1/24/2020,Peru,Moquegua,5.4,earthquake,tectonic,78,,-17.46,-70.89,0,0,0,0.011834025,3,0,--
