Date (UTC),Country,Region,Magnitude,Depth (km),Intensity (MMI / JMA),Fatalities,Injuries,displaced,Impact coefficient (D),buildings damaged,buildings destroyed,Tsunami height
1/2/2017,Italy,Umbria,4.1,8,V,0,0,30,0.194400945,,0,--
1/3/2017,India,Tripura,5.5,35,,3,49,600,1.668773823,1456,166,--
1/3/2017,Brazil,Maranhao,4.6,,,0,0,0,0.752967373,500,0,--
1/3/2017,Fiji,Western Division (OS),7.2,16,IV,0,0,0,0,0,0,1 cm
1/6/2017,Iran,Fars,5.1,4,,4,4,905,1.447851642,400,40,--
1/8/2017,Canada,Nunavut (OS),5.8,17,V ,0,0,0,0.019788895,5,0,--
1/8/2017,India,Maharashtra,2.8,,,0,0,0,0.038715255,10,0,--
1/9/2017,Greece,Western Greece,4.6,4,VI,0,0,0,0.008024081,2,0,--
1/10/2017,Philippines,Sulu (OS),7.3,627,IV,0,0,0,0.004030572,1,0,--
1/11/2017,Madagascar,Antananarivo,5.5,8,VI,2,5,50,0.928950673,300,15,--
1/15/2017,China,Sichuan,4.2,14,,0,0,0,0.056851142,15,0,--
1/16/2017,Indonesia,Sumatra Utara,5.6,,,0,7,50,0.787717628,200,17,--
1/17/2017,Cuba,Santiago de Cuba (OS),5.4,11,VI,0,0,25,0.280480034,30,5,--
1/17/2017,Pakistan,Sindh (Karachi area),3.6,12,,0,0,0,0.074259946,20,0,--
1/17/2017,Angola,Huila,4,,,0,0,0,0.090997726,25,0,--
1/17/2017,Iran,Fars,4.8,10,,0,3,0,0.431485211,100,0,--
1/18/2017,Italy,Abruzzo,5.5,9,,2,10,500,1.546450166,2000,50,--
1/18/2017,China,Sichuan,4.3,5,,0,0,0,1.149043646,1401,1,--
1/19/2017,Colombia,Antioquia,4.7,20,,0,0,0,0.004030572,1,0,--
1/19/2017,Georgia,Samtskhe-Javakheti,4.3,,,0,0,0,0.038715255,10,0,--
1/20/2017,Iran,Fars,4.3,12,,0,10,0,0.605025005,50,0,--
1/21/2017,Russia,Primorje,3.3,,,0,0,0,0.008024081,2,0,--
1/21/2017,Argentina,Mendoza,4.6,22,,0,0,0,0.038715255,10,0,--
1/22/2017,Papua New Guinea,Bougainville,7.9,136,VIII,3,15,200,1.288134285,500,100,2 cm
1/22/2017,Iran,Isfahan,4.5,,,0,0,5,0.137928766,30,0,--
1/26/2017,Germany,Northrhine-Westphalia,1.9,1,IV,0,0,0,0.004030572,1,0,--
1/27/2017,Ethiopia,Oromia,5.2,,,,,,0,,,--
1/27/2017,Albania,Berat,4.8,3,,0,0,0,0.08437982,23,0,--
1/27/2017,China,Sichuan,4.9,11,VI,0,5,4000,2.354232816,14000,571,--
1/29/2017,Italy,Lazio,3.8,,,0,0,0,0.013457201,0,1,--
1/31/2017,Ecuador,Esmeraldas,5.5,10,VI,0,0,0,0.015902594,4,0,--
1/31/2017,China,Xizang,4.5,5,,0,0,500,1.370390316,1400,,--
2/1/2017,Australia,South Australia,3.7,8,,0,0,0,0.008024081,2,0,--
2/3/2017,Kyrgyzstan,Batken,5,,,0,0,0,0.019788895,5,0,--
2/3/2017,France,Martinique (OS),5.8,,VII,0,3,0,0.269886601,10,0,--
2/6/2017,Turkey,Canakkale,5.4,8,,0,8,2500,1.849168168,504,504,--
2/6/2017,Colombia,Huila,5.6,37,,0,1,500,1.26096149,461,104,--
2/6/2017,India,Uttarakhand,5.6,14,,0,2,,0.440806608,100,10,--
2/7/2017,Turkey,Canakkale,5.2,8,,0,0,0,0.300016114,100,2,--
2/7/2017,Pakistan,Balochistan,6.3,,,0,1,300,0.944004698,,60,--
2/8/2017,China,Yunnan,4.9,10,,0,5,,0.395453832,22,,--
2/9/2017,Colombia,Huila,4,,,0,0,15,0.124639515,2,1,--
2/10/2017,Turkey,Canakkale,4.7,,,0,0,0,0.074259946,20,0,--
2/10/2017,Turkey,Agri,4.5,,,0,0,15,0.218864413,40,0,--
2/10/2017,Philippines,Surigao del Norte (OS),6.6,7,VIII,8,249,54735,3.085022649,10398,522,--
2/10/2017,Taiwan,Tainan,5.6,18,VII,0,4,0,0.316201459,5,0,--
2/12/2017,Turkey,Canakkale,5.2,8,,0,0,,0.321313621,50,20,--
